Alabama,16.1,Special K,Special K
Alaska,10.8,Other,Shredded Wheat
Arizona,19.2,Rice Krispies,Rice Krispies
Arkansas,16.5,Other,Raisin Bran
California,15.4,Special K,Special K
Colorado,11.9,Cinnamon Toast Crunch,Cinnamon Toast Crunch
Connecticut,8.3,Cinnamon Toast Crunch,Cinnamon Toast Crunch
Delaware,11.3,Other,Vanilla Coconut
Florida,14.6,Special K,Special K
Georgia,17.5,Ancient Grains Cheerios,Ancient Grains Cheerios
Hawaii,11.5,Other,Great Grains
Idaho,13.3,Other,Quaker Oatmeal Squares
Illinois,13.2,Special K,Special K
Indiana,15.6,Other,All Bran
Iowa,10.2,Special K,Special K
Kansas,13.6,Rice Krispies,Rice Krispies
Kentucky,17.3,Fiber One,Fiber One
Louisiana,18,Other,Cocoa Crispies
Maine,12,Other,Oreo O's
Maryland,9.7,Other,Fiber One
Massachusetts,10.9,Other,Thin Mint Cereal
Michigan,14.2,Special K,Special K
Minnesota,10.5,Cinnamon Toast Crunch,Cinnamon Toast Crunch
Mississippi,21.3,Other,Thin Mint Cereal
Missouri,14.6,Other,Nature Valley
Montana,13.4,Other,Kashi
Nebraska,10.2,Other,Captain Crunch
Nevada,13.4,Other,Cascade Farms
New Hampshire,7.1,Rice Krispies,Rice Krispies
New Jersey,9.8,Ancient Grains Cheerios,Ancient Grains Cheerios
New Mexico,19.1,Special K,Special K
New York,15.3,Special K,Special K
North Carolina,16.1,Fiber One,Fiber One
North Dakota,11.6,Other,Oreo O's
Ohio,14.1,Ancient Grains Cheerios,Ancient Grains Cheerios
Oklahoma,14.3,Special K,Special K
Oregon,12.7,Other,Honey Nut Cheerios
Pennsylvania,11.4,Special K,Special K
Rhode Island,13.1,Rice Krispies,Rice Krispies
South Carolina,14.9,Special K,Special K
South Dakota,13.5,Other,Cocoa Crispies
Tennessee,16.1,Other,Cheerios
Texas,17.2,Special K,Special K
Utah,9.1,Special K,Special K
Vermont,9.7,Special K,Special K
Virginia,10.6,Special K,Special K
Washington,11.2,Other,Maypo
West Virginia,15.7,Other,Count Chocula
Wisconsin,10.2,Fiber One,Fiber One
Wyoming,9.6,Ancient Grains Cheerios,Ancient Grains Cheerios
