date,LocationAbbr,symbol,price
2011,AL,Alabama,32
2011,AK,Alaska,27.4
2011,AZ,Arizona,25.1
2011,AR,Arkansas,30.9
2011,CA,California,23.8
2011,CO,Colorado,20.7
2011,CT,Connecticut,24.5
2011,DE,Delaware,28.8
2011,FL,Florida,26.6
2011,GA,Georgia,28
2011,HI,Hawaii,21.8
2011,ID,Idaho,27
2011,IL,Illinois,27.1
2011,IN,Indiana,30.8
2011,IA,Iowa,29
2011,KS,Kansas,29.6
2011,KY,Kentucky,30.4
2011,LA,Louisiana,33.4
2011,ME,Maine,27.8
2011,MD,Maryland,28.3
2011,MA,Massachusetts,22.7
2011,MI,Michigan,31.3
2011,MN,Minnesota,25.7
2011,MS,Mississippi,34.9
2011,MO,Missouri,30.3
2011,MT,Montana,24.6
2011,US,National,27.4
2011,NE,Nebraska,28.4
2011,NV,Nevada,24.5
2011,NH,New Hampshire,26.2
2011,NJ,New Jersey,23.7
2011,NM,New Mexico,26.3
2011,NY,New York,24.5
2011,NC,North Carolina,29.1
2011,ND,North Dakota,27.8
2011,OH,Ohio,29.6
2011,OK,Oklahoma,31.1
2011,OR,Oregon,26.7
2011,PA,Pennsylvania,28.6
2011,RI,Rhode Island,25.4
2011,SC,South Carolina,30.8
2011,SD,South Dakota,28.1
2011,TN,Tennessee,29.2
2011,TX,Texas,30.4
2011,UT,Utah,24.4
2011,VT,Vermont,25.4
2011,VA,Virginia,29.2
2011,WA,Washington,26.5
2011,WV,West Virginia,32.4
2011,WI,Wisconsin,27.7
2011,WY,Wyoming,25
2012,AL,Alabama,33
2012,AK,Alaska,25.7
2012,AZ,Arizona,26
2012,AR,Arkansas,34.5
2012,CA,California,25
2012,CO,Colorado,20.5
2012,CT,Connecticut,25.6
2012,DE,Delaware,26.9
2012,FL,Florida,25.2
2012,GA,Georgia,29.1
2012,HI,Hawaii,23.6
2012,ID,Idaho,26.8
2012,IL,Illinois,28.1
2012,IN,Indiana,31.4
2012,IA,Iowa,30.4
2012,KS,Kansas,29.8
2012,KY,Kentucky,31.3
2012,LA,Louisiana,34.7
2012,ME,Maine,28.3
2012,MD,Maryland,27.6
2012,MA,Massachusetts,22.9
2012,MI,Michigan,31.1
2012,MN,Minnesota,25.7
2012,MS,Mississippi,34.6
2012,MO,Missouri,29.6
2012,MT,Montana,24.3
2012,US,National,27.7
2012,NE,Nebraska,28.6
2012,NV,Nevada,26.2
2012,NH,New Hampshire,27.3
2012,NJ,New Jersey,24.6
2012,NM,New Mexico,27.1
2012,NY,New York,23.6
2012,NC,North Carolina,29.6
2012,ND,North Dakota,29.7
2012,OH,Ohio,30.1
2012,OK,Oklahoma,32.2
2012,OR,Oregon,27.3
2012,PA,Pennsylvania,29.1
2012,RI,Rhode Island,25.7
2012,SC,South Carolina,31.6
2012,SD,South Dakota,28.1
2012,TN,Tennessee,31.1
2012,TX,Texas,29.2
2012,UT,Utah,24.3
2012,VT,Vermont,23.7
2012,VA,Virginia,27.4
2012,WA,Washington,26.8
2012,WV,West Virginia,33.8
2012,WI,Wisconsin,29.7
2012,WY,Wyoming,24.6
2013,AL,Alabama,32.4
2013,AK,Alaska,28.4
2013,AZ,Arizona,26.8
2013,AR,Arkansas,34.6
2013,CA,California,24.1
2013,CO,Colorado,21.3
2013,CT,Connecticut,25
2013,DE,Delaware,31.1
2013,FL,Florida,26.4
2013,GA,Georgia,30.3
2013,HI,Hawaii,21.8
2013,ID,Idaho,29.6
2013,IL,Illinois,29.4
2013,IN,Indiana,31.8
2013,IA,Iowa,31.3
2013,KS,Kansas,30
2013,KY,Kentucky,33.2
2013,LA,Louisiana,33.1
2013,ME,Maine,28.9
2013,MD,Maryland,28.3
2013,MA,Massachusetts,23.6
2013,MI,Michigan,31.5
2013,MN,Minnesota,25.5
2013,MS,Mississippi,35.1
2013,MO,Missouri,30.4
2013,MT,Montana,24.6
2013,US,National,28.3
